Drift ID,Site,Status,Deploy Date,Deploy Lat,Deploy Long,Recover Date,Recover Lat,Recover Long,Recorder,SR (kHz),Duty Cycle,HP Depth (m),Data Start Date,Data End Date
PASCAL_001,ORE,Complete,8/19/2016,44.35,−125.31,8/31/2016,43.29,−126.29,ST4300,288,2 min per 10,100,8/20/2016,8/31/2016
PASCAL_002,HUM,Complete,8/21/2016,41.49,−125.36,9/1/2016,41.9,−125.32,ST4300,288,2 min per 10,100,8/20/2016,9/1/2016
PASCAL_003,MND,Complete,8/21/2016,38.57,−124.36,9/2/2016,38.08,−124.03,ST4300,288,2 min per 10,100,8/21/2016,9/2/2016
PASCAL_004,MBY,Complete,8/22/2016,36.35,−122.95,9/3/2016,36.05,−122.68,ST4300,288,2 min per 10,100,8/22/2016,9/3/2016
PASCAL_005,CHI,Complete,8/22/2016,34.21,−121.43,9/4/2016,33.99,−121.72,ST4300,288,2 min per 10,100,8/22/2016,9/4/2016
PASCAL_006,BCN,Complete,8/24/2016,32.19,−119.91,9/12/2016,32.61,−119.50,ST4300,288,2 min per 2,100,8/24/2016,8/30/2016
PASCAL_007,BCN,Complete,8/25/2016,31.37,−123.71,9/13/2016,30.24,−122.39,SM3M,256,Continuous,100,8/25/2016,9/13/2016
PASCAL_008,CHI,Complete,8/26/2016,33.76,−125.92,9/14/2016,33.95,−125.39,SM2Bat,192,2 min per 4,100,8/26/2016,9/14/2016
PASCAL_009,MBY,Complete,8/27/2016,36.54,−127.57,9/15/2016,36.99,−128.64,ST300,48,2 min per 2,100,8/27/2016,9/15/2016
PASCAL_009,MBY,Complete,8/27/2016,36.54,−127.57,9/15/2016,36.99,−128.64,ST4300,288,2 min per 10,100,8/27/2016,9/15/2016
PASCAL_010,MND,Complete,8/27/2016,39.25,−129.19,9/16/2016,39.18,−129.76,SM3M,256,Continuous,100,8/27/2016,9/17/2016
PASCAL_011,ORE,Complete,8/28/2016,42.24,−129.85,9/17/2016,42.79,−129.87,SM2Bat,192,2 min per 4,100,8/28/2016,9/17/2016
PASCAL_012,COL,Complete,8/29/2016,45.26,−129.78,9/17/2016,45.37,−129.07,ST4300,288,2 min per 10,100,8/29/2016,9/17/2016
PASCAL_013,COL,Complete,8/29/2016,46.23,−127.61,9/18/2016,46.33,−128.11,SM3M,256,2 min per 2,100,8/29/2016,9/15/2016
PASCAL_014,WAS,Unusable,8/30/2016,47.11,−125.61,9/18/2016,47.11,−125.38,SM2Bat,192,2 min per 4,100,8/30/2016,9/18/2016
PASCAL_015,ORE,Complete,8/31/2016,43.68,−127.74,9/16/2016,41.64,−129.28,ST4300,288,2 min per 2,100,8/31/2016,9/5/2016
PASCAL_016,HUM,Complete,9/1/2016,40.81,−127.54,9/20/2016,39.43,−127.61,ST4300,288,2 min per 10,100,9/1/2016,9/21/2016
PASCAL_017,PTA,Complete,9/2/2016,38.52,−126.64,9/21/2016,36.51,−124.62,SM3M,256,Continuous,100,9/2/2016,9/21/2016
PASCAL_018,MBY,Complete,9/3/2016,35.84,−124.92,9/22/2016,34.38,−124.52,SM2Bat,192,2 min per 4,100,9/3/2016,9/22/2016
PASCAL_019,CHI,Complete,9/4/2016,33.22,−123.16,9/23/2016,31.83,−122.06,ST4300,288,2 min per 10,100,9/4/2016,9/23/2016
PASCAL_020,CHI,Complete,9/6/2016,33.14,−118.99,9/29/2016,33.73,−120.95,ST4300,288,2 min per 10,100,9/7/2016,9/29/2016
PASCAL_021,MOB,Complete,9/4/2016,35.29,−122.24,9/25/2016,36,−122.56,ST4300,288,2 min per 10,100,9/3/2016,9/25/2016
PASCAL_022,SND,Complete,9/5/2016,33.06,−120.99,9/28/2016,34.24,−120.95,ST4300,288,2 min per 10,100,9/5/2016,9/28/2016
PASCAL_023,SND,Complete,9/24/2016,33,−121.00,9/28/2016,33.11,−120.92,ST4300,288,2 min per 2,100,9/24/2016,9/28/2016
PASCAL_024,SND,Complete,9/24/2016,33.08,−120.98,9/28/2016,33.14,−120.81,ST300,288,2 min per 2,100,9/24/2016,9/28/2016
PASCAL_024,SND,Complete,9/24/2016,33.08,−120.98,9/28/2016,33.14,−120.81,ST4300,288,2 min per 2,100,9/24/2016,9/28/2016
PASCAL_025,SND,Complete,9/24/2016,33.14,−121.06,9/28/2016,33.18,−120.75,ST4300,288,2 min per 2,100,9/24/2016,9/28/2016
PASCAL_026,CHI,Complete,9/24/2016,34.35,−121.08,9/26/2016,34.09,−120.84,ST300,288,2 min per 2,250,9/24/2016,9/26/2016
PASCAL_026,CHI,Complete,9/24/2016,34.35,−121.08,9/26/2016,34.09,−120.84,ST4300,288,2 min per 2,100,9/24/2016,9/26/2016
PASCAL_027,CHI,Complete,9/24/2016,34.06,−121.05,9/26/2016,34.1,−120.86,ST4300,288,2 min per 2,100,9/24/2016,9/26/2016
PASCAL_028,CHI,Complete,9/24/2016,33.97,−120.99,9/29/2016,33.86,−121.26,ST4300,288,2 min per 2,100,9/24/2016,9/29/2016
PASCAL_029,CHI,Complete,9/26/2016,34.05,−121.05,9/28/2016,33.97,−120.87,ST4300,288,2 min per 2,100,9/26/2016,9/28/2016
PASCAL_029,CHI,Complete,9/26/2016,34.05,−121.05,9/28/2016,33.97,−120.87,ST300,288,2 min per 2,250,9/26/2016,9/28/2016
PASCAL_030,CHI,Complete,9/26/2016,34.04,−121.08,9/28/2016,34.02,−120.86,ST4300,288,2 min per 2,100,9/26/2016,9/28/2016
